Lizard,Lat_UTM,Long_UTM
RYB,363692.5717,6244278.004
RYB,363749.102,6244275.735
RYB,363682.3901,6244271.696
RYW,363837.6395,6244369.435
RYW,363781.1972,6244365.543
RYW,363845.3865,6244366.465
RYW,363840.2955,6244363.311
RYW,363845.4749,6244360.304
RYW,363786.5093,6244353.296
RYW,363825.0228,6244353.849
RYW,363832.7255,6244353.959
RYW,363830.2022,6244350.842
RYW,363832.7697,6244350.879
RYW,363825.067,6244350.769
RYW,363827.6788,6244347.725
RYW,363799.4356,6244347.32
RYW,363853.4429,6244341.933
RYW,363812.3619,6244341.343
RYW,363850.9196,6244338.816
RYW,363843.2611,6244335.625
RYW,363830.5117,6244329.28
RYW,363820.2857,6244326.052
WBG,363812.3177,6244344.424
WBG,363822.6321,6244341.491
WBG,363797.0007,6244338.042
WBG,363817.5412,6244338.337
WBG,363825.2439,6244338.447
WBG,363825.2882,6244335.367
WBG,363822.7206,6244335.33
WBG,363817.5855,6244335.256
WBG,363817.5855,6244335.256
WBG,363840.6935,6244335.588
WBG,363830.4675,6244332.36
WBG,363817.6739,6244329.096
WBG,363817.6739,6244329.096
WBG,363835.6469,6244329.354
WBG,363876.772,6244326.863
WBG,363835.6911,6244326.274
WBG,363843.3938,6244326.384
WBG,363807.4479,6244325.868
WBG,363843.438,6244323.304
WBG,363846.0055,6244323.341
WBG,363851.1407,6244323.414
WBG,363876.8605,6244320.703
WBG,363858.8876,6244320.445
WBG,363848.6173,6244320.297
WBG,363838.3913,6244317.07
WBG,363856.3642,6244317.328
WBG,363874.3371,6244317.586
WBG,363876.9047,6244317.622
WBG,363858.976,6244314.284
WBG,363869.2462,6244314.432
WBG,363874.3813,6244314.505
WBG,363866.6787,6244314.395
WBY,363873.5413,6244373.031
WBY,363866.1039,6244354.439
WBY,363832.7255,6244353.959
WBY,363886.6886,6244351.653
WBY,363884.1211,6244351.616
WBY,363884.1211,6244351.616
WBY,363884.1211,6244351.616
WBY,363825.067,6244350.769
WBY,363863.6247,6244348.241
WBY,363827.6788,6244347.725
WBY,363853.3545,6244348.094
WBY,363873.9834,6244342.228
WBY,363868.8483,6244342.154
WBY,363879.1628,6244339.221
WBY,363863.7574,6244339
WBY,363876.6394,6244336.104
WBY,363874.0719,6244336.067
WBY,363876.6394,6244336.104
WBY,363881.7745,6244336.178
WBY,363879.207,6244336.141
WBY,363881.7745,6244336.178
WBY,363889.5656,6244330.128
WGB,363887.2191,6244314.69
WGB,363902.7129,6244308.75
WGB,363889.8751,6244308.566
WGB,363887.3075,6244308.529
WGB,363889.8751,6244308.566
WGB,363879.7375,6244299.177
WGB,363884.9168,6244296.171
WGB,363869.5115,6244295.95
WGB,363905.5014,6244293.385
WGB,363905.5456,6244290.305
WGB,363905.5456,6244290.305
WGB,363905.5456,6244290.305
WGB,363908.1574,6244287.262
WGB,363908.1574,6244287.262
WGB,363908.1574,6244287.262
WGB,363908.1574,6244287.262
WGB,363905.5898,6244287.225
WGB,363908.1574,6244287.262
WGB,363856.8506,6244283.444
WGB,363874.8676,6244280.622
WGB,363859.4624,6244280.401
WGB,363882.6587,6244274.572
WGB,363862.1183,6244274.277
WGB,363882.6587,6244274.572
WGB,363885.2263,6244274.609
WGB,363880.0912,6244274.535
WGB,363864.7301,6244271.234
WGB,363882.7471,6244268.411
WGB,363887.9264,6244265.405
WGB,363885.3589,6244265.368
WGB,363885.3589,6244265.368
WGB,363877.7005,6244262.177
WGB,363893.1499,6244259.318
WYB,363727.588,6244343.207
WYB,363732.7231,6244343.28
WYB,363727.6322,6244340.126
WYB,363717.362,6244339.979
WYB,363732.7674,6244340.2
WYB,363727.6322,6244340.126
WYB,363735.3792,6244337.157
WYB,363735.3792,6244337.157
WYB,363699.4333,6244336.64
WYB,363737.991,6244334.113
WYB,363704.7897,6244321.312
WYB,363704.834,6244318.232
WYB,363712.5809,6244315.263
WYB,363728.1191,6244306.243
WYB,363705.1881,6244293.59
WYR,363673.8905,6244327.03
WYR,363673.8905,6244327.03
WYR,363671.3229,6244326.993
WYR,363673.8905,6244327.03
WYR,363671.3229,6244326.993
WYR,363681.5932,6244327.141
WYR,363684.1607,6244327.178
WYR,363686.7725,6244324.134
WYR,363676.5023,6244323.987
WYR,363679.0699,6244324.024
WYR,363689.3844,6244321.091
WYR,363691.9962,6244318.048
WYR,363681.7702,6244314.82
WYR,363684.3821,6244311.776
WYR,363681.8145,6244311.739
WYR,363689.5172,6244311.85
WYR,363686.9496,6244311.813
WYR,363686.9939,6244308.733
WYR,363679.2912,6244308.622
WYR,363687.0382,6244305.653
WYR,363669.1096,6244302.314
WYR,363679.4241,6244299.381
WYR,363656.3603,6244295.969
WYR,363653.8371,6244292.852
WYR,363679.5126,6244293.221
WYR,363669.2867,6244289.993
WYR,363677.1664,6244277.782
WYR,363656.6703,6244274.407
WYR,363674.6874,6244271.585
WYR,363674.6874,6244271.585
WYR,363679.9111,6244265.498
WYR,363679.9111,6244265.498
WYR,363656.8474,6244262.086
WYR,363679.9553,6244262.418
WYW,363855.4357,6244382.014
WYW,363950.7453,6244361.815
WYW,363868.6715,6244354.475
WYW,363889.3004,6244348.61
WYW,363950.9662,6244346.413
WYW,363902.315,6244336.473
WYW,363879.2512,6244333.061
WYW,363889.5214,6244333.208
WYW,363892.1774,6244327.084
WYW,363887.0865,6244323.93
WYW,363887.2191,6244314.69
WYW,363948.8847,6244312.493
WYW,363954.064,6244309.487
YBG,363813.6468,6244430.709
YBG,363800.8531,6244427.444
YBG,363793.1503,6244427.334
YBG,363818.8262,6244427.702
